   Selected parameters are:
1 Height, km
2 Electron_density_Ne, m-3
3 Tn, K
4 Ti, K
5 Te, K

       1            2      3      4      5
  100.00  0.33413E+10  177.5  177.5  177.5
  101.00  0.34414E+10  180.1  180.1  180.1
  102.00  0.35072E+10  184.2  184.2  184.2
  103.00  0.35478E+10  189.5  189.5  189.5
  104.00  0.35710E+10  196.2  196.2  196.2
  105.00  0.35830E+10  204.3  204.3  204.3
  106.00  0.35884E+10  213.6  213.6  213.6
  107.00  0.35904E+10  224.2  224.2  224.2
  108.00  0.35910E+10  236.0  236.0  236.0
  109.00  0.35910E+10  248.9  248.9  248.9
  110.00  0.35910E+10  262.5  262.5  262.5
  111.00  0.35563E+10  276.6  276.6  276.6
  112.00  0.34601E+10  290.9  290.9  290.9
  113.00  0.33156E+10  305.4  305.4  305.4
  114.00  0.31366E+10  320.1  320.1  320.1
  115.00  0.29357E+10  334.9  334.9  334.9
  116.00  0.27239E+10  349.7  349.7  349.7
  117.00  0.25103E+10  364.6  364.6  364.6
  118.00  0.23018E+10  379.4  379.4  379.4
  119.00  0.21034E+10  394.2  394.2  394.2
  120.00  0.19183E+10  409.1  409.1  409.1
  121.00  0.17483E+10  424.0  424.0  424.0
  122.00  0.15943E+10  439.0  439.0  439.0
  123.00  0.14563E+10  454.3  454.3  454.3
  124.00  0.13337E+10  470.4  470.4  470.4
  125.00  0.12258E+10  486.0  486.0  486.0
  126.00  0.11314E+10  501.2  501.2  501.2
  127.00  0.10494E+10  516.0  516.0  516.0
  128.00  0.97875E+09  530.5  530.5  530.5
  129.00  0.91827E+09  544.6  544.6  544.6
  130.00  0.86700E+09  558.4  558.4  558.4
  131.00  0.82403E+09  572.0  572.0  572.0
  132.00  0.78855E+09  585.1  585.1  585.1
  133.00  0.75988E+09  598.0  598.0  598.0
  134.00  0.73743E+09  610.6  610.6  610.6
  135.00  0.72069E+09  622.9  622.9  622.9
  136.00  0.70927E+09  634.9  634.9  634.9
  137.00  0.70283E+09  646.7  646.7  646.7
  138.00  0.70113E+09  658.1  658.1  658.1
  139.00  0.70397E+09  669.3  669.3  669.3
  140.00  0.71122E+09  680.3  680.3  680.3
  141.00  0.72280E+09  691.0  691.0  691.0
  142.00  0.73867E+09  701.4  701.4  701.4
  143.00  0.75882E+09  711.6  711.6  712.0
  144.00  0.78327E+09  721.6  721.6  723.7
  145.00  0.81207E+09  731.3  731.3  735.1
  146.00  0.84526E+09  740.9  740.9  746.2
  147.00  0.88290E+09  750.2  750.2  756.8
  148.00  0.92504E+09  759.2  759.2  767.0
  149.00  0.97170E+09  768.1  768.1  776.8
  150.00  0.10229E+10  776.8  776.8  786.0
  151.00  0.10787E+10  785.3  785.3  794.8
  152.00  0.11388E+10  793.5  793.5  803.0
  153.00  0.12034E+10  801.6  801.6  810.7
  154.00  0.12721E+10  809.5  809.5  818.0
  155.00  0.13448E+10  817.3  817.3  824.8
  156.00  0.14212E+10  824.8  824.8  831.1
  157.00  0.15010E+10  832.2  832.2  837.1
  158.00  0.15837E+10  839.4  839.4  842.7
  159.00  0.16690E+10  846.4  846.4  847.9
  160.00  0.17565E+10  853.3  853.3  853.3
  161.00  0.18457E+10  860.0  860.0  860.0
  162.00  0.19363E+10  866.6  866.6  866.6
  163.00  0.20279E+10  873.0  873.0  873.0
  164.00  0.21204E+10  879.3  879.3  879.3
  165.00  0.22137E+10  885.4  885.4  885.4
  166.00  0.23079E+10  891.4  891.4  891.4
  167.00  0.24034E+10  897.2  897.2  897.2
  168.00  0.25007E+10  902.9  902.9  902.9
  169.00  0.26010E+10  908.5  908.5  908.5
  170.00  0.27056E+10  914.0  914.0  914.0
  171.00  0.28163E+10  919.3  919.3  919.3
  172.00  0.29357E+10  924.5  924.5  924.5
  173.00  0.30668E+10  929.6  929.6  929.6
  174.00  0.32138E+10  934.6  934.6  934.6
  175.00  0.33818E+10  939.5  939.5  939.5
  176.00  0.35773E+10  944.2  944.2  944.2
  177.00  0.39055E+10  948.8  948.8  948.8
  178.00  0.42416E+10  953.4  953.4  953.4
  179.00  0.45777E+10  957.8  957.8  957.8
  180.00  0.49138E+10  962.2  962.2  962.2
  181.00  0.52499E+10  966.4  966.4  966.4
  182.00  0.55860E+10  970.5  970.5  970.5
  183.00  0.59221E+10  974.6  974.6  974.6
  184.00  0.62583E+10  978.5  978.5  978.5
  185.00  0.65944E+10  982.4  982.4  982.4
  186.00  0.69305E+10  986.2  986.2  986.2
  187.00  0.72666E+10  989.8  989.8  989.8
  188.00  0.76027E+10  993.4  993.4  993.4
  189.00  0.79388E+10  997.0  997.0  997.0
  190.00  0.82749E+10 1000.4 1000.4 1000.4
  191.00  0.86110E+10 1003.8 1003.8 1003.8
  192.00  0.89472E+10 1007.1 1007.1 1007.1
  193.00  0.92833E+10 1010.3 1010.3 1010.3
  194.00  0.96194E+10 1013.4 1013.4 1013.4
  195.00  0.99555E+10 1016.5 1016.5 1016.5
  196.00  0.10292E+11 1019.5 1019.5 1019.5
  197.00  0.10628E+11 1022.4 1022.4 1022.4
  198.00  0.10964E+11 1025.3 1025.3 1025.3
  199.00  0.11300E+11 1028.1 1028.1 1028.1
  200.00  0.11636E+11 1030.8 1030.8 1030.8
  201.00  0.11972E+11 1033.5 1033.5 1033.5
  202.00  0.12308E+11 1036.1 1036.1 1036.1
  203.00  0.12644E+11 1038.7 1038.7 1038.7
  204.00  0.12981E+11 1041.2 1041.2 1041.2
  205.00  0.13317E+11 1043.6 1043.6 1043.6
  206.00  0.13653E+11 1046.0 1046.0 1046.0
  207.00  0.13989E+11 1048.3 1048.3 1048.3
  208.00  0.14325E+11 1050.6 1050.6 1050.6
  209.00  0.14661E+11 1052.8 1052.8 1052.8
  210.00  0.14997E+11 1055.0 1055.0 1055.0
  211.00  0.15333E+11 1057.2 1057.2 1057.2
  212.00  0.15669E+11 1059.2 1059.2 1059.2
  213.00  0.16006E+11 1061.3 1061.3 1061.3
  214.00  0.16342E+11 1063.3 1063.3 1063.3
  215.00  0.16678E+11 1065.2 1065.2 1065.2
  216.00  0.17123E+11 1067.1 1067.1 1067.1
  217.00  0.17654E+11 1069.0 1069.0 1069.0
  218.00  0.18199E+11 1070.8 1070.8 1070.8
  219.00  0.18759E+11 1072.6 1072.6 1072.6
  220.00  0.19334E+11 1074.3 1074.3 1074.3
  221.00  0.19924E+11 1076.0 1076.0 1076.0
  222.00  0.20529E+11 1077.6 1077.6 1077.6
  223.00  0.21151E+11 1079.3 1079.3 1079.3
  224.00  0.21789E+11 1080.8 1080.8 1080.8
  225.00  0.22443E+11 1082.4 1082.4 1082.4
  226.00  0.23113E+11 1083.9 1083.9 1085.3
  227.00  0.23801E+11 1085.4 1085.4 1088.7
  228.00  0.24506E+11 1086.8 1086.8 1092.1
  229.00  0.25229E+11 1088.2 1088.2 1095.5
  230.00  0.25970E+11 1089.6 1089.6 1098.9
  231.00  0.26729E+11 1091.0 1091.0 1102.3
  232.00  0.27507E+11 1092.3 1092.3 1105.7
  233.00  0.28303E+11 1093.6 1093.6 1109.1
  234.00  0.29119E+11 1094.9 1094.9 1112.5
  235.00  0.29954E+11 1096.1 1096.1 1115.9
  236.00  0.30808E+11 1097.3 1097.3 1119.3
  237.00  0.31683E+11 1098.5 1098.9 1122.7
  238.00  0.32578E+11 1099.6 1100.8 1126.1
  239.00  0.33494E+11 1100.8 1102.6 1129.5
  240.00  0.34430E+11 1101.9 1104.4 1132.9
  241.00  0.35387E+11 1102.9 1106.3 1136.3
  242.00  0.36366E+11 1104.0 1108.1 1139.7
  243.00  0.37366E+11 1105.0 1110.0 1143.1
  244.00  0.38388E+11 1106.0 1111.8 1146.5
  245.00  0.39432E+11 1107.0 1113.6 1149.9
  246.00  0.40498E+11 1108.0 1115.5 1153.3
  247.00  0.41587E+11 1108.9 1117.3 1156.7
  248.00  0.42698E+11 1109.8 1119.2 1160.1
  249.00  0.43833E+11 1110.7 1121.0 1163.6
  250.00  0.44990E+11 1111.6 1122.8 1167.0
  251.00  0.46170E+11 1112.5 1124.7 1170.4
  252.00  0.47374E+11 1113.3 1126.5 1173.8
  253.00  0.48601E+11 1114.1 1128.4 1177.2
  254.00  0.49851E+11 1114.9 1130.2 1180.6
  255.00  0.51126E+11 1115.7 1132.0 1184.0
  256.00  0.52424E+11 1116.5 1133.9 1187.4
  257.00  0.53745E+11 1117.2 1135.7 1190.8
  258.00  0.55091E+11 1118.0 1137.6 1194.2
  259.00  0.56460E+11 1118.7 1139.4 1197.6
  260.00  0.57854E+11 1119.4 1141.2 1201.0
  261.00  0.59271E+11 1120.1 1143.1 1204.4
  262.00  0.60712E+11 1120.8 1144.9 1207.8
  263.00  0.62177E+11 1121.4 1146.8 1211.2
  264.00  0.63665E+11 1122.0 1148.6 1214.6
