   Selected parameters are:
1 Height, km
2 O, cm-3 
3 N2, cm-3
4 O2, cm-3
5 Temperature_neutral, K
6 Temperature_exospheric, K

      1          2          3          4      5     6
  100.0  3.689E+11  9.411E+12  2.287E+12  189.1  1037
  101.0  3.569E+11  7.854E+12  1.883E+12  190.3  1037
  102.0  3.408E+11  6.537E+12  1.545E+12  192.5  1037
  103.0  3.218E+11  5.431E+12  1.263E+12  195.5  1037
  104.0  3.012E+11  4.507E+12  1.030E+12  199.3  1037
  105.0  2.798E+11  3.740E+12  8.391E+11  204.0  1037
  106.0  2.583E+11  3.105E+12  6.829E+11  209.7  1037
  107.0  2.372E+11  2.581E+12  5.558E+11  216.3  1037
  108.0  2.170E+11  2.148E+12  4.526E+11  223.8  1037
  109.0  1.978E+11  1.792E+12  3.689E+11  232.5  1037
  110.0  1.797E+11  1.498E+12  3.013E+11  242.3  1037
  111.0  1.630E+11  1.256E+12  2.465E+11  253.3  1037
  112.0  1.475E+11  1.056E+12  2.023E+11  265.7  1037
  113.0  1.334E+11  8.913E+11  1.666E+11  279.4  1037
  114.0  1.205E+11  7.550E+11  1.377E+11  294.5  1037
  115.0  1.089E+11  6.422E+11  1.143E+11  311.0  1037
  116.0  9.839E+10  5.487E+11  9.533E+10  328.8  1037
  117.0  8.904E+10  4.713E+11  7.998E+10  347.9  1037
  118.0  8.076E+10  4.071E+11  6.753E+10  367.9  1037
  119.0  7.347E+10  3.539E+11  5.743E+10  388.5  1037
  120.0  6.714E+10  3.100E+11  4.925E+10  409.0  1037
  121.0  6.171E+10  2.739E+11  4.263E+10  428.6  1037
  122.0  5.714E+10  2.444E+11  3.730E+10  446.4  1037
  123.0  5.337E+10  2.204E+11  3.301E+10  461.0  1031
  124.0  5.008E+10  2.000E+11  2.943E+10  474.3  1031
  125.0  4.707E+10  1.821E+11  2.634E+10  487.2  1031
  126.0  4.432E+10  1.663E+11  2.367E+10  499.8  1031
  127.0  4.179E+10  1.523E+11  2.135E+10  512.1  1031
  128.0  3.947E+10  1.399E+11  1.932E+10  524.1  1031
  129.0  3.733E+10  1.288E+11  1.754E+10  535.9  1031
  130.0  3.535E+10  1.189E+11  1.598E+10  547.3  1031
  131.0  3.353E+10  1.099E+11  1.459E+10  558.5  1031
  132.0  3.183E+10  1.019E+11  1.336E+10  569.5  1031
  133.0  3.025E+10  9.457E+10  1.226E+10  580.1  1031
  134.0  2.879E+10  8.797E+10  1.128E+10  590.6  1031
  135.0  2.742E+10  8.196E+10  1.041E+10  600.8  1031
  136.0  2.615E+10  7.649E+10  9.616E+09  610.7  1031
  137.0  2.496E+10  7.149E+10  8.903E+09  620.4  1031
  138.0  2.385E+10  6.691E+10  8.257E+09  629.9  1031
  139.0  2.280E+10  6.271E+10  7.672E+09  639.2  1031
  140.0  2.182E+10  5.885E+10  7.139E+09  648.2  1031
  141.0  2.090E+10  5.529E+10  6.653E+09  657.0  1031
  142.0  2.004E+10  5.201E+10  6.210E+09  665.7  1031
  143.0  1.922E+10  4.898E+10  5.803E+09  674.1  1031
  144.0  1.845E+10  4.617E+10  5.430E+09  682.3  1031
  145.0  1.773E+10  4.357E+10  5.087E+09  690.3  1031
